DATAFLOW,LAST UPDATE,freq,nace_r2,indic_sb,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,CY,2016,6.31,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,CY,2017,5.92,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,CY,2018,6.46,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,CZ,2008,27.35,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,CZ,2009,26.99,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,CZ,2010,26.87,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,CZ,2011,27.27,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,CZ,2012,26.68,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,CZ,2013,26.67,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,CZ,2014,26.81,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,CZ,2015,26.83,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,CZ,2016,27.62,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,CZ,2017,28.03,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,CZ,2018,28.31,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,DE,2008,12.03,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,DE,2009,9.13,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,DE,2010,9.92,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,DE,2011,10.29,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,DE,2012,11.59,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,DE,2013,12.22,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,DE,2014,11.66,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,DE,2015,10.84,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,DE,2016,11.19,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,DE,2017,11.93,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,DE,2018,11.88,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,DK,2008,15.31,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,DK,2009,18.91,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,DK,2010,19.21,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,DK,2011,20.51,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,DK,2012,20.3,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,DK,2013,20.02,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,DK,2014,19.71,
