DATAFLOW,LAST UPDATE,freq,entity,indic_bp,fdi_item,partner,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,EL,2014,9.9,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,EL,2015,12.5,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,EL,2016,13.4,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,EL,2017,15.3,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,ES,2013,45.0,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,ES,2014,46.6,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,ES,2015,45.7,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,ES,2016,47.0,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,ES,2017,45.3,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,FI,2013,31.7,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,FI,2014,36.9,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,FI,2015,35.8,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,FI,2016,35.4,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,FI,2017,32.8,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,FR,2013,26.1,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,FR,2014,26.8,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,FR,2015,28.7,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,FR,2016,30.0,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,FR,2017,31.8,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,HR,2013,50.5,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,HR,2014,55.1,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,HR,2015,53.4,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,HR,2016,56.1,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,HR,2017,57.4,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,HU,2013,176.9,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,HU,2014,174.0,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,HU,2015,161.0,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,HU,2016,198.4,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,HU,2017,165.9,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,IE,2013,167.1,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,IE,2014,181.3,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,IE,2015,311.5,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,IE,2016,291.9,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,IE,2017,253.1,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,IT,2013,16.5,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,IT,2014,17.9,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,IT,2015,18.9,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,IT,2016,19.5,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,IT,2017,20.3,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,LT,2013,36.4,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,LT,2014,34.9,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,LT,2015,36.1,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,LT,2016,35.8,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,LT,2017,35.1,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,LU,2013,4638.7,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,LU,2014,5353.3,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,LU,2015,6554.0,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,LU,2016,6783.3,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,LU,2017,6004.5,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,LV,2013,50.7,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,LV,2014,52.6,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,LV,2015,55.7,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,LV,2016,53.9,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,LV,2017,54.0,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,MT,2013,1750.9,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,MT,2014,1686.2,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,MT,2015,1594.5,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,MT,2016,1585.2,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,MT,2017,1523.6,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,NL,2013,483.0,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,NL,2014,512.6,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,NL,2015,542.6,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,NL,2016,553.5,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,NL,2017,566.3,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,PL,2013,42.6,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,PL,2014,42.6,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,PL,2015,39.8,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,PL,2016,42.2,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,PL,2017,42.9,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,PT,2013,53.3,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,PT,2014,57.2,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,PT,2015,60.3,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,PT,2016,59.3,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,PT,2017,61.5,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,RO,2013,41.8,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,RO,2014,40.0,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,RO,2015,40.2,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,RO,2016,41.0,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,RO,2017,40.4,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,SE,2013,65.2,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,SE,2014,61.0,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,SE,2015,63.8,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,SE,2016,61.6,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,SE,2017,62.3,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,SI,2013,24.6,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,SI,2014,27.1,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,SI,2015,29.9,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,SI,2016,32.1,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,SI,2017,31.8,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,SK,2013,56.7,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,SK,2014,53.8,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,SK,2015,53.4,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,SK,2016,55.6,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,SK,2017,54.9,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,UK,2013,52.6,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,UK,2014,58.0,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,UK,2015,53.9,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,UK,2016,58.3,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,UK,2017,57.5,
